id_reporte,fecha_reporte,departamento,categoria_falla,tiempo_resolucion_min,es_critico
1001,2026-08-25 08:15:00,Sistemas Computacionales,Carga de archivos,120,true
1002,2026-08-25 09:30:00,Ingeniería Industrial,Error de Login,15,false
1003,2026-08-25 10:05:00,Sistemas Computacionales,Carga de archivos,95,false
1004,2026-08-26 11:20:00,Gestión Empresarial,Bloqueo de horario,45,false
1005,2026-08-26 14:00:00,Licenciatura en Administración,Carga de archivos,180,true
1006,2026-08-26 15:45:00,Sistemas Computacionales,Error de Login,10,false
1007,2026-08-27 08:00:00,Ingeniería Industrial,Carga de archivos,110,true
1008,2026-08-27 09:12:00,Gestión Empresarial,Interfaz no despliega,60,false
1009,2026-08-27 13:30:00,Sistemas Computacionales,Carga de archivos,150,true
1010,2026-08-28 16:10:00,Licenciatura en Administración,Bloqueo de horario,30,false
